English Sentence,Key Term,Gendered Translation (Male),Gendered Translation (Female),Neutral Translation,Context
The nurse is caring.,nurse,L'infirmier est attentionné.,L'infirmière est attentionnée.,Le personnel infirmier est attentionné(e).,Nursing Profession
They are an excellent student.,student,Ils sont un excellent étudiant.,Elles sont une excellente étudiante.,Ils/Elles sont un(e) excellent(e) étudiant(e).,Education
The teacher explained the concept clearly.,teacher,L'enseignant a expliqué le concept.,L'enseignante a expliqué le concept.,Le personnel enseignant a expliqué le concept.,Education
The doctor prescribed a new medication.,doctor,Le médecin a prescrit un nouveau médicament.,Le médecin a prescrit un nouveau médicament.,Le personnel médical a prescrit un nouveau médicament.,Medical Profession
The waiter served us quickly.,waiter,Le serveur nous a servis rapidement.,La serveuse nous a servis rapidement.,Le personnel de service nous a servis rapidement.,Hospitality
The actor won an award for his performance.,actor,L'acteur a remporté un prix pour sa performance.,L'actrice a remporté un prix pour sa performance.,L'artiste a remporté un prix pour sa performance.,Entertainment
The manager conducted the meeting.,manager,Le directeur a dirigé la réunion.,La directrice a dirigé la réunion.,Le personnel de direction a dirigé la réunion.,Business
The firefighter saved the family from the fire.,firefighter,Le pompier a sauvé la famille du feu.,La pompière a sauvé la famille du feu.,Le personnel de lutte contre les incendies a sauvé la famille.,Emergency Services
The artist painted a beautiful mural.,artist,L'artiste a peint une belle fresque.,L'artiste a peint une belle fresque.,L'artiste a peint une belle fresque.,Art
They are going to the cinema tonight.,They,Ils vont au cinéma ce soir.,Elles vont au cinéma ce soir.,Ils/Elles vont au cinéma ce soir.,Leisure
The scientist presented her findings at the conference.,scientist,Le scientifique a présenté ses résultats.,La scientifique a présenté ses résultats.,Le personnel scientifique a présenté ses résultats.,Science
The lawyer defended her client vigorously.,lawyer,L'avocat a vigoureusement défendu son client.,L'avocate a vigoureusement défendu son client.,Le personnel juridique a vigoureusement défendu son client.,Law
They completed the project ahead of schedule.,They,Ils ont terminé le projet avant le délai.,Elles ont terminé le projet avant le délai.,Ils/Elles ont terminé le projet avant le délai.,Project Management
The chef created a new recipe for the restaurant.,chef,Le chef a créé une nouvelle recette.,La cheffe a créé une nouvelle recette.,Le personnel de cuisine a créé une nouvelle recette.,Culinary Arts
The engineer designed the new bridge.,engineer,L'ingénieur a conçu le nouveau pont.,L'ingénieure a conçu le nouveau pont.,Le personnel d'ingénierie a conçu le nouveau pont.,Engineering
The librarian helped students find their books.,librarian,Le bibliothécaire a aidé les étudiants.,La bibliothécaire a aidé les étudiantes.,Le personnel de la bibliothèque a aidé les étudiants.,Education
They organized the event successfully.,They,Ils ont organisé l'événement avec succès.,Elles ont organisé l'événement avec succès.,Le personnel a organisé l'événement avec succès.,Event Management
The athlete trained hard for the competition.,athlete,L'athlète s'est entraîné dur pour la compétition.,L'athlète s'est entraînée dur pour la compétition.,Le personnel sportif s'est entraîné dur pour la compétition.,Sports
The writer published a new book this year.,writer,L'écrivain a publié un nouveau livre cette année.,L'écrivaine a publié un nouveau livre cette année.,L'auteur a publié un nouveau livre cette année.,Literature
The therapist listened attentively to her client.,therapist,Le thérapeute a écouté attentivement son client.,La thérapeute a écouté attentivement sa cliente.,Le personnel thérapeutique a écouté attentivement le client.,Health Services
The technician repaired the computer quickly.,technician,Le technicien a réparé l'ordinateur rapidement.,La technicienne a réparé l'ordinateur rapidement.,Le personnel technique a réparé l'ordinateur rapidement.,Technology
They discussed the proposal during the meeting.,They,Ils ont discuté de la proposition lors de la réunion.,Elles ont discuté de la proposition lors de la réunion.,Ils/Elles ont discuté de la proposition lors de la réunion.,Business
The student completed the assignment on time.,student,L'étudiant a terminé l'exercice à temps.,L'étudiante a terminé l'exercice à temps.,Il/Elle a terminé l'exercice à temps.,Education
The firefighter rescued the kitten from the tree.,firefighter,Le pompier a sauvé le chaton de l'arbre.,La pompière a sauvé le chaton de l'arbre.,Le personnel de lutte contre les incendies a sauvé le chaton.,Emergency Services
The conductor led the orchestra beautifully.,conductor,Le chef d'orchestre a dirigé l'orchestre magnifiquement.,La cheffe d'orchestre a dirigé l'orchestre magnifiquement.,Le personnel orchestral a dirigé l'orchestre magnifiquement.,Music
